"","ROI","contrast","subject","PS"
"342","HIPP_MERGE_BL","dstart send diff context no sub","sub13",0.020568
"343","HIPP_MERGE_BL","sstart dend same context no sub","sub13",0.0045177
"344","HIPP_MERGE_BL","sstart dend diff context no sub","sub13",0.030598
"345","HIPP_MERGE_BL","dstart dend same context no sub","sub13",0.0091852
"346","HIPP_MERGE_BL","dstart dend diff context no sub","sub13",0.026708
"347","HIPP_MERGE_BL","same mov scon no sub","sub13",0.030907
"348","HIPP_MERGE_BL","same mov dcon no sub","sub13",0.037177
"349","HIPP_MERGE_BL","share mov scon no sub","sub13",0.027163
"350","HIPP_MERGE_BL","share mov dcon no sub","sub13",0.020166
"351","HIPP_MERGE_BL","no share mov scon no sub","sub13",0.011338
"352","HIPP_MERGE_BL","no share mov dcon no sub","sub13",0.024866
"353","V12_BL","sseq scon no sub","sub13",0.36585
"354","V12_BL","sseq dcon no sub","sub13",0.34186
"355","V12_BL","dseq scon no sub","sub13",0.33307
"356","V12_BL","dseq dcon no sub","sub13",0.34765
"357","V12_BL","dstart send same context no sub","sub13",0.33589
"358","V12_BL","dstart send diff context no sub","sub13",0.34654
"359","V12_BL","sstart dend same context no sub","sub13",0.31892
"360","V12_BL","sstart dend diff context no sub","sub13",0.37207
"361","V12_BL","dstart dend same context no sub","sub13",0.3362
"362","V12_BL","dstart dend diff context no sub","sub13",0.34073
"363","V12_BL","same mov scon no sub","sub13",0.36585
"364","V12_BL","same mov dcon no sub","sub13",0.3311
"365","V12_BL","share mov scon no sub","sub13",0.34408
"366","V12_BL","share mov dcon no sub","sub13",0.33557
"367","V12_BL","no share mov scon no sub","sub13",0.33237
"368","V12_BL","no share mov dcon no sub","sub13",0.34942
"369","BA4ap","sseq scon no sub","sub13",0.071147
"370","BA4ap","sseq dcon no sub","sub13",0.018618
"371","BA4ap","dseq scon no sub","sub13",0.050949
"372","BA4ap","dseq dcon no sub","sub13",0.050704
"373","BA4ap","dstart send same context no sub","sub13",0.069598
"374","BA4ap","dstart send diff context no sub","sub13",0.028455
"375","BA4ap","sstart dend same context no sub","sub13",0.046634
"376","BA4ap","sstart dend diff context no sub","sub13",0.056215
"377","BA4ap","dstart dend same context no sub","sub13",0.046857
"378","BA4ap","dstart dend diff context no sub","sub13",0.055583
"379","BA4ap","same mov scon no sub","sub13",0.071147
"380","BA4ap","same mov dcon no sub","sub13",0.064099
"381","BA4ap","share mov scon no sub","sub13",0.10898
"382","BA4ap","share mov dcon no sub","sub13",0.042371
"383","BA4ap","no share mov scon no sub","sub13",0.047269
"384","BA4ap","no share mov dcon no sub","sub13",0.046813
"385","HIPP_MERGE_BL","sseq scon no sub","sub14",0.011081
"386","HIPP_MERGE_BL","sseq dcon no sub","sub14",-0.021139
"387","HIPP_MERGE_BL","dseq scon no sub","sub14",0.00045617
"388","HIPP_MERGE_BL","dseq dcon no sub","sub14",0.0018791
"389","HIPP_MERGE_BL","dstart send same context no sub","sub14",-0.01173
"390","HIPP_MERGE_BL","dstart send diff context no sub","sub14",-0.001036
"391","HIPP_MERGE_BL","sstart dend same context no sub","sub14",-0.0035679
"392","HIPP_MERGE_BL","sstart dend diff context no sub","sub14",-0.0027498
"393","HIPP_MERGE_BL","dstart dend same context no sub","sub14",0.0051541
"394","HIPP_MERGE_BL","dstart dend diff context no sub","sub14",0.0040562
"395","HIPP_MERGE_BL","same mov scon no sub","sub14",0.011081
"396","HIPP_MERGE_BL","same mov dcon no sub","sub14",-0.021893
"397","HIPP_MERGE_BL","share mov scon no sub","sub14",0.044197
"398","HIPP_MERGE_BL","share mov dcon no sub","sub14",-0.022208
"399","HIPP_MERGE_BL","no share mov scon no sub","sub14",-0.0023539
"400","HIPP_MERGE_BL","no share mov dcon no sub","sub14",0.0035436
"401","V12_BL","sseq scon no sub","sub14",0.13838
"402","V12_BL","sseq dcon no sub","sub14",0.12503
